dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
OCR_14x14,0.1,1000.0,162,200,11.0,3.7,"[1.5, 5.8]"
expressions.gz,0.1,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
gauss2D.gz,0.1,100.0,824,200,126.0,10.5,"[8.8, 12.2]"
gender.gz,0.1,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
videos.gz,0.1,1.0,2788,200,647.0,27.0,"[25.2, 28.8]"
